name,name_en,code,lat,lon,has_flightable_airport,time_zone
Покур,Pokur,ПУР,60.9894447,75.48944,False,Asia/Yekaterinburg
Туруханск,Turukhansk,THX,65.79722,87.93528,True,Asia/Krasnoyarsk
Владивосток,Vladivostok,VVO,43.378574,132.14075,True,Asia/Vladivostok
Махачкала,Makhachkala,MCX,42.82095,47.65611,True,Europe/Moscow
Инта,Inta,INA,66.066666,60.1,True,Europe/Moscow
Романтик,Romantik,РМК,43.5435,41.185261,False,Europe/Moscow
Бованенково,Bovanenkovo,BVJ,70.2,68.4,True,Asia/Dushanbe
Таксимо,Taksimo,TKM,56.3616676,114.92722,True,Asia/Irkutsk
Усть-Кокса,Ust'-Koksa,УКО,50.2635558,85.71014,True,Asia/Novokuznetsk
Владикавказ,Vladikavkaz,OGZ,43.2,44.6,True,Europe/Moscow
Саратов,Saratov,RTW,51.566666,46.066666,True,Europe/Samara
Старый Оскол,Stary Oskol,СОЛ,51.3283348,37.76667,True,Europe/Moscow
Кызыл,Kyzyl,KYZ,51.7,94.46667,True,Asia/Krasnoyarsk
Шахтёрск,Shakhtyorsk,EKS,49.190735,142.077703,True,Asia/Sakhalin
Нефтеюганск,Nefteyugansk,NFG,61.13333,73.05,False,Asia/Yekaterinburg
Удачный,Udachnyj,PYJ,66.416664,112.05,True,Asia/Yakutsk
Соловецкий,Solovetsky,CSH,65.02944,35.733334,True,Europe/Moscow
Южно-Сахалинск,Yuzhno-Sakhalinsk,UUS,46.966667,142.75,True,Asia/Srednekolymsk
Усть-Камчатск,Ust-Kamchatsk,УКЧ,56.2377777,162.68556,True,Asia/Kamchatka
Печора,Pechora,PEX,65.11667,57.13333,True,Europe/Moscow
Кировск (Апатиты),Kirovsk,KVK,67.583336,33.583332,True,Europe/Moscow
Нижнеангарск,Nizhneangarsk,NZG,55.8011093,109.59389,True,Asia/Irkutsk
Среднеколымск,Srednekolymsk,SEK,67.466667,153.716667,True,Asia/Srednekolymsk
Усть-Мая,Ust-Maya,UMS,60.41528,134.54722,True,Asia/Yakutsk
Иваново,Ivanovo,IWA,56.942955,40.944546,True,Europe/Moscow
Кавалерово,Kavalerovo,KVR,44.266865,135.0357,True,Asia/Vladivostok
Усть-Куйга,Ust-Kuiga,UKG,70.00139,135.54972,True,Asia/Yakutsk
Красноярск,Krasnojarsk,KJA,56.18113,92.48286,True,Asia/Krasnoyarsk
Челябинск,Chelyabinsk,CEK,55.297504,61.51235,True,Asia/Yekaterinburg
Таловка,Talovka,ТЛО,62.0486107,166.70056,False,Asia/Kamchatka
Магас,Magas,IGT,43.16667,44.81667,True,Europe/Moscow
Магнитогорск,Magnitogorsk,MQF,53.45,59.066666,True,Asia/Yekaterinburg
Терней,Terney,NEI,45.03333,136.6,True,Asia/Vladivostok
Горно-Алтайск,Gorno-Altaysk,RGK,51.969166,85.83639,True,Asia/Barnaul
Батагай-Алыта,Batagay-Alyta,SUK,67.846707,130.467126,True,Asia/Yakutsk
Элиста,Elista,ESL,46.36667,44.333332,True,Europe/Moscow
Преображение,Preobrazheniye,RZH,42.90104,133.89621,True,Asia/Vladivostok
Пластун,Plastun,TLY,44.81465,136.28928,True,Asia/Vladivostok
Курск,Kursk,URS,51.75,36.266666,True,Europe/Moscow
Октябрьский,Oktiabrskij,OKT,54.433334,53.38333,False,Asia/Yekaterinburg
Екатеринбург,Yekaterinburg,SVX,56.750336,60.804314,True,Asia/Yekaterinburg
Волгоград,Volgograd,VOG,48.792,44.354805,True,Europe/Moscow
Олёкминск,Olokminsk,OLZ,60.366667,120.416667,True,Asia/Yakutsk
Усть-Коликъеган,Ust-Kolikjegan,УТЕ,61.1116676,78.25,False,Asia/Yekaterinburg
Тигиль,Tigil,ТИГ,57.7833328,158.72667,True,Asia/Kamchatka
Липецк,Lipetsk,LPK,52.61667,39.6,True,Europe/Moscow
Манилы,Manily,МИЛ,62.4858322,165.3364,True,Asia/Kamchatka
Киров,Kirov,KVX,58.5,49.35,True,Europe/Moscow
Сабетта,Sabetta,SBT,71.25,72.096111,True,Asia/Dushanbe
Ростов-на-Дону,Rostov,ROV,47.25,39.75,True,Europe/Moscow
Агзу,Agzu,АЗУ,47.5966682,138.36833,False,Asia/Vladivostok
Учами,Uchami,УМИ,63.8166656,96.43,False,Asia/Krasnoyarsk
Москва,Moscow,MOW,55.755786,37.617633,True,Europe/Moscow
Кепервеем,Keperveyem,KPW,67.84056,166.13917,True,Asia/Kamchatka
Каменское,Kamenskoe,КДУ,62.4655571,166.19167,False,Asia/Kamchatka
Ербогачён,Erbogachen,ERG,61.275,108.03,True,Asia/Irkutsk
Ярославль,Yaroslavl,IAR,57.61667,39.88333,True,Europe/Moscow
Ижевск,Izhevsk,IJK,56.833332,53.466667,True,Europe/Samara
Рязань,Ryazan,RZN,54.63333,39.583332,False,Europe/Moscow
Надым,Nadym,NYM,65.48333,72.71667,True,Asia/Yekaterinburg
Былино,Bylino,БЫЛ,60.75,76.81667,False,Asia/Yekaterinburg
Жиганск,Zhigansk,ZIX,66.766667,123.383333,True,Asia/Yakutsk
Лайтамак,Laitamak,ЛАЙ,58.4119453,67.45834,True,Asia/Yekaterinburg
Троицко-Печорск,Troitsko-Pechorsk,ТЦП,62.731945,56.19611,False,Europe/Moscow
Вуктыл,Vuktyl,ВТЛ,63.8266678,57.285,False,Europe/Moscow
Санкт-Петербург,Saint Petersburg,LED,59.939039,30.315785,True,Europe/Moscow
Магадан,Magadan,GDX,59.916668,150.71666,True,Asia/Magadan
Марково,Markovo,KVM,64.6647186,170.4136,True,Asia/Anadyr
Нижний Новгород,Nizhniy Novgorod,GOJ,56.218613,43.789764,True,Europe/Moscow
Бугуруслан,Buguruslan,БГГ,53.6166649,52.45,False,Asia/Yekaterinburg
Киренск,Kirensk,KCK,57.772778,108.060833,True,Asia/Irkutsk
Уренгой,Urengoy,UEN,65.96,78.38,False,Asia/Yekaterinburg
Ярцево,Yartsevo,YAE,60.2544441,90.19583,True,Asia/Krasnoyarsk
Казань,Kazan,KZN,55.79083,49.11444,True,Europe/Moscow
Кыра,Kyra,КЫР,49.581065,111.977123,True,Asia/Chita
Слаутное,Slautnoe,СЛУ,63.1752777,167.97667,False,Asia/Kamchatka
Грозный,Groznyy,GRV,43.333332,45.75,True,Europe/Moscow
Ямбург,Yamburg,ЯМБ,67.9883347,75.09695,True,Asia/Yekaterinburg
Котлас,Kotlas,KSZ,61.233334,46.7,True,Europe/Moscow
Белгород,Belgorod,EGO,50.63333,36.65,True,Europe/Moscow
Игарка,Igarka,IAA,67.433334,86.63333,True,Asia/Krasnoyarsk
Херпучи,Kherpuchi,ХРП,52.9749985,138.81667,True,Asia/Vladivostok
Большой Ларьяк,Bolshoy Larjak,БОК,61.0766678,80.77666,False,Asia/Yekaterinburg
Стрежевой,Strezhevoy,SWT,60.5,77.0,True,Asia/Tomsk
Братск,Bratsk,BTK,56.36667,101.816666,True,Asia/Irkutsk
Игрим,Igrim,IRM,63.200756,64.433945,True,Asia/Yekaterinburg
Апука,Apuka,АПУ,60.439167,169.62111,False,Asia/Kamchatka
Архангельск,Arkhangelsk,ARH,64.594795,40.711903,True,Europe/Moscow
Пенза,Penza,PEZ,53.11852,45.02305,True,Europe/Moscow
Нелькан,Nelkan,НЛН,57.6416664,136.16167,True,Asia/Vladivostok
Усть-Цильма,Ust-Tsilma,UTS,65.433334,52.2,True,Europe/Moscow
Амдерма,Amderma,AMV,69.76667,61.55,False,Europe/Moscow
Оха,Okha,OHH,53.516666,142.88333,True,Asia/Srednekolymsk
Архыз,Arkhyz,АХЗ,43.564328,41.280404,False,Europe/Moscow
Бодайбо,Bodaybo,ODO,57.86639,114.2425,True,Asia/Irkutsk
Тикси,Tiksi,IKS,71.7,128.9,True,Asia/Yakutsk
Сыктывкар,Syktyvkar,SCW,61.666668,50.766666,True,Europe/Moscow
Великий Устюг,Velikij Ustyug,VUS,60.766666,46.316666,True,Europe/Moscow
Воркута,Vorkuta,VKT,67.48333,63.983334,True,Europe/Moscow
Куюмба,Kujumba,КЮМ,60.9500008,96.96667,False,Asia/Krasnoyarsk
