Бренд,ИНН,ИАТА,Код в России
НИИ Центр подготовки космонавтов имени Ю. А. Гагарина,5050077618,,
,2.34912E+11,,
Нимбус,5401105017,,
Норд-Авиа,2457050967,,НД
NordStar Airlines,8401008386,Y7,ТИ
,,,ШЕ
Норильск Авиа,2457077334,,ПН
Орион-Икс,7708557539,,
Орлан,9703067460,,
,6.132E+11,,
НПК Панх,2308006658,,ЮФ
Парма,1101173058,,
Партнер,2348024438,,
,6.14304E+11,,
Петрозаводск (аэропорт),1020016755,,ПЕ
,,,ЛЮ
Петропавловск-Авиа,2801268155,,
,2.33708E+11,,
Плаз,7816388172,,
Победа,9705001313,DP,ДР
,6.67222E+11,,
Полёт,4711012561,,
Поляр-Авиа,4909078153,,ПФ
Полюс,5407972560,,
Полярные авиалинии,1435229817,PI,ЯП
Премьер Авиа,7708588801,,
Регионавиа,3436107212,,
Red Wings Airlines,7732107883,WZ,ИН
,4.105E+11,,
,2.22401E+11,,
Респект-Интер,6165052756,,
Рисхимавиа,2336017789,,
Ромона,6501037637,,
Россия,7810814522,FV,ПЛ
Специальный лётный отряд «Россия»,7732537999,,ЛР
Роствертол-Авиа,6161057249,,ВЛ
Royal Flight,1901011793,RL,ГН
РусАгрАвиа,2308170601,,
РусАвиа,245952720,,
РусДжет,7732505997,,ШТ
Русские вертолётные системы,7710623115,,УШ
Руссэйр,7825377522,,РЛ
,,,ПД
РусЛайн,7713141247,7R,РГ
Салмоника-Авиа,4105127227,,
Свободный порт Камчатка,4101176456,,
Сев-Авиа,9102253857,,СЮ
Севзапавиа,7810915880,,
Северавиа,8703005751,,
Nordwind Airlines,7733646084,N4,КЛ
Северо-Запад,1101077330,,ЕИ
,,,СШ
Северсталь,3523011965,D2,Д2
СевКавТИСИЗ,2308060750,,
Сибиа,4501011071,,ШВ
Сигма РЦ,1001256293,,
Сила,3808133543,,СЛ
S7 Airlines,5448100656,S7,С7
Ситикоптер,7730196302,,
Sky Gates Airlines,7714385687,,
Скай Партнер Аэро,7743385096,,
Скайкоптер,4725008484,,
СкайЛайт,9703143866,,
Скайпро Хеликоптерс,7714933894,,
Скайрус,2130196742,,
,2.34205E+11,,
SmartAvia,2901126323,5N,5Н
Солярис,9706003433,,
СпецАвиа,2442013352,,
,3.44309E+11,,
,2.32906E+11,,
САП,7022019093,,
Тайга,6500000867,,ЮШ
,,,ВЯ
,2.31202E+11,,
Тарп Авиэйшн,7715773890,,
ТВС,1684023397,,
,2.63201E+11,,
ТНЦ,274171978,,
Три пилота,7716823914,,
Тува Авиа[англ.],1701047200,,КФ
,,,ЩТ
Тулпар,7728640288,,ДЦ
Тулпар-ЭЙР,1660000376,,ТЫ
Тулпар Экспресс,1616025879,,
Турухан,2437010388,,УТ
,,,ЭТ
ТНПЦ АОН,7202147672,,
Уктус[итал.],6674202389,,УБ
УЛК,2922008546,,
Ульяновский институт гражданской авиации,7303002000,,
Универсал-Авиа,9102159300,,УД
,,,РЫ
"Ural Airlines, Уральские авиалинии",6608003013,U6,У6
Уральский завод строительных профилей,6673109450,,
Уран-ВМ,6949116803,,
Устькамчатрыба,4109002780,,
,3.44108E+11,,
Фермер Прикумья,2624018771,,
,1.32808E+11,,
Финко,1831144571,,
Хабаровские авиалинии,2724248264,,
Хели-драйв Северо-Запад,7807127784,,РЖ
Хелипорт-М,5017107061,,
Хелифлайт,7707437870,,
Хелиэкспресс,7723676530,,
Химавиа,6107005482,,
Чукотавиа,8701005724,,АД
,1.421E+11,,
Штурман-2,2703025757,,ШН
Эйр Экспресс,3666230411,,
AirBridgeCargo,7704548011,RU,БК
Эйрус,7705517062,,УЬ
,2.63201E+11,,
ЮВТ Аэро,1645030506,,ЮВ
Юг Авиа,3444256627,,
Южный авиационный центр,3446021726,,
Южный Альянс,2308243112,,
Спортивная школа «Юный ястреб» имени А. М. Числова,3445066795,,
ЮТК Авиа,2312315289,,
UTair,7204002873,UT,ЮТ
ПАО ЮТэйр,,,
ЮТэйр — вертолётные услуги,8604005359,,НФ
,,,НГ
АО ЮТэйр,7219006479,,ПП
,,,ПГ
Яковлев,3807002509,,ЯХ
Якутия,1435149030,R3,ЯК
Ямал (авиационная компания),7710697928,,ЯЛ
Ямал (авиационная транспортная компания),8901008031,YC,ЛА
Ястреб,6164136146,,
