name,name_en,IATA_code,lat,lon,has_flightable_airport,time_zone,population_rating
Новый Уренгой,Novyj Urengoj,NUX,66.07335,76.522835,True,Asia/Yekaterinburg,159
Элиста,Elista,ESL,46.36667,44.333332,True,Europe/Moscow,166
Тобольск,Tobolsk,RMZ,58.13333,68.23333,True,Asia/Yekaterinburg,170
Ноябрьск,Nojabrxsk,NOJ,63.17673,75.29459,True,Asia/Yekaterinburg,171
Железногорск,Zheleznogorsk,ЖЕЗ,57.6176256,79.46004,True,Asia/Irkutsk,176
Магадан,Magadan,GDX,59.916668,150.71666,True,Asia/Magadan,184
Анапа,Anapa,AAQ,44.9,37.316666,True,Europe/Moscow,201
Бугульма,Bugulma,UUA,54.61667,52.816666,True,Europe/Moscow,202
Геленджик,Gelendzik,GDZ,44.566666,38.016666,True,Europe/Moscow,203
Ухта,Ukhta,UCT,63.566666,53.8,True,Europe/Moscow,204
Усть-Илимск,Ust-Ilimsk,UIK,58.13333,102.55,True,Asia/Irkutsk,206
Бор,Bor,TGP,61.59,89.97945,True,Asia/Krasnoyarsk,210
Минеральные Воды,Mineralnye Vody,MRV,44.218105,43.085815,True,Europe/Moscow,227
Горно-Алтайск,Gorno-Altaysk,RGK,51.969166,85.83639,True,Asia/Barnaul,243
Нягань,Nyagan,NYA,62.101074,65.60563,True,Asia/Yekaterinburg,256
Когалым,Kogalym,KGP,62.19583,74.53361,True,Asia/Yekaterinburg,261
Воркута,Vorkuta,VKT,67.48333,63.983334,True,Europe/Moscow,285
Котлас,Kotlas,KSZ,61.233334,46.7,True,Europe/Moscow,288
Нерюнгри,Neryungri,NER,56.65,124.6,True,Asia/Yakutsk,307
Краснокаменск,Krasnokamensk,КНК,50.0499992,118.11667,True,Asia/Yakutsk,313
Салехард,Salekhard,SLY,66.583336,66.6,True,Asia/Yekaterinburg,328
Надым,Nadym,NYM,65.48333,72.71667,True,Asia/Yekaterinburg,334
Ярцево,Yartsevo,YAE,60.2544441,90.19583,True,Asia/Krasnoyarsk,363
Урай,Uraj,URJ,60.11667,64.833336,True,Asia/Yekaterinburg,364
Стрежевой,Strezhevoy,SWT,60.5,77.0,True,Asia/Tomsk,388
Усть-Кут,Ust-Kut,UKX,56.85,105.73333,True,Asia/Irkutsk,413
Печора,Pechora,PEX,65.11667,57.13333,True,Europe/Moscow,440
Мирный,Mirnyj,MJZ,62.533333,114.03333,True,Asia/Yakutsk,450
Дальнегорск,Dalnegorsk,DHG,44.56667,135.61667,True,Asia/Vladivostok,457
Усинск,Usinsk,USK,65.95,57.4,True,Europe/Moscow,475
Советский,Sovetsky,OVS,61.33209,63.601887,True,Asia/Yekaterinburg,481
Великий Устюг,Velikij Ustyug,VUS,60.766666,46.316666,True,Europe/Moscow,509
Тында,Tynda,TYD,55.283333,124.73333,True,Asia/Yakutsk,511
Советская Гавань,Sovetskaya Gavan,GVN,48.9575,140.2811111,True,Asia/Vladivostok,576
Дальнереченск,Dalnerechensk,DLR,45.876667,133.735,True,Asia/Vladivostok,583
Нарьян-Мар,Naryan-Mar,NNM,67.61667,53.15,True,Europe/Moscow,587
Никольское,Nikolskoe,НИК,55.1775017,166.045,True,Asia/Kamchatka,601
Ленск,Lensk,ULK,60.72248,114.83152,True,Asia/Yakutsk,627
